Name,Age,GPA,Credits_Completed,Year,Pathway
Josh Fraker,14,2.46,48,Super Senior,Culinary
Ian Smith,17,0.46,29,Sophmore,Early College
Joe White,19,0.62,22,Freshman,Construction
Rachel Brown,19,4.44,28,Freshman,Engineering
Isabelle King,16,3.7,11,Freshman,Computer Science
Sophie Davis,14,2.05,9,Super Senior,Early Childhood Education
Isabelle Brown,15,2.05,55,Freshman,Fine Arts
Ian Anderson,17,0.42,47,Super Senior,Culinary
Emma Foster,17,2.94,10,Freshman,Business
Rachel Johnson,17,4.26,7,Junior,Construction
Sophie Davis,16,3.23,45,Sophmore,Fine Arts
Ben Moore,15,2.03,28,Freshman,Culinary
Tom White,18,4.49,19,Senior,Bio Med
Emma Miller,18,2.59,20,Junior,Marketing
Alex Foster,17,1.54,32,Junior,Engineering
Mac German,15,0.45,39,Super Senior,Computer Science
Sarah German,17,1.36,39,Freshman,Bio Med
Marie Brown,16,1.56,3,Sophmore,Marketing
Daniel Scott,14,2.94,57,Junior,Fine Arts
Sophie Johnson,18,3.89,18,Senior,Construction
Tom Scott,19,2.22,59,Freshman,Culinary
Rachel Davis,15,0.47,15,Senior,Culinary
Bob White,18,3.55,42,Junior,Marketing
Ian Anderson,16,2.43,22,Freshman,Engineering
Ben King,14,3.82,38,Freshman,Computer Science
Alex Williams,14,0.39,46,Junior,Engineering
Rachel Anderson,15,2.24,37,Senior,Marketing
Lily White,14,0.49,22,Freshman,Bio Med
Daniel Foster,16,4.43,29,Super Senior,Early Childhood Education
Isabelle Garcia,16,3.94,52,Super Senior,Computer Science
Sarah King,15,1.79,58,Freshman,Early Childhood Education
Marie King,15,2.3,52,Senior,Computer Science
Ian Garcia,14,3.45,55,Junior,Early Childhood Education
Lily Smith,19,4.41,5,Junior,Business
Mac Williams,17,4.04,39,Senior,Bio Med
Bob Brown,14,1.96,49,Super Senior,Computer Science
Sophie Williams,18,1.68,37,Freshman,Business
Isabelle Fraker,14,3.39,11,Freshman,Early College
Ian Fraker,19,3.61,17,Super Senior,Early Childhood Education
Emma Fraker,15,1.39,27,Super Senior,Computer Science
Lily Miller,15,1.72,17,Junior,Computer Science
Rachel Garcia,18,2.83,28,Freshman,Engineering
Emma German,19,3.12,39,Super Senior,Construction
Alex Davis,15,2.43,6,Super Senior,Culinary
Alex Anderson,15,2.58,7,Senior,Culinary
Marie Johnson,18,2.21,6,Junior,Computer Science
Rachel Moore,17,1.96,32,Sophmore,Fine Arts
Alex Jones,16,1.76,51,Senior,Marketing
Hayden Brown,15,2.11,26,Sophmore,Computer Science
Ian Anderson,18,2.98,32,Super Senior,Business
Emma Brown,14,3.18,41,Freshman,Fine Arts
Isabelle Davis,17,2.96,35,Freshman,Culinary
Bob Miller,17,3.61,46,Freshman,Engineering
Rachel Anderson,18,3.67,32,Super Senior,Construction
Hayden Scott,14,2.01,11,Sophmore,Construction
Emma Smith,18,4.21,33,Junior,Bio Med
Isabelle White,15,3.04,3,Freshman,Engineering
Daniel Anderson,15,3.74,47,Super Senior,Bio Med
Lily Scott,14,1.37,38,Freshman,Bio Med
Marie White,14,1.88,59,Super Senior,Early Childhood Education
Tom Jones,16,4.42,33,Super Senior,Marketing
Rachel Williams,19,3.26,34,Sophmore,Computer Science
Josh Brown,15,0.45,13,Freshman,Business
Isabelle Williams,19,2.63,59,Senior,Marketing
Joe Scott,16,2.76,32,Freshman,Engineering
Rachel Moore,18,3.97,8,Super Senior,Culinary
Josh Foster,18,1.64,6,Sophmore,Computer Science
Ian Anderson,14,1.86,9,Super Senior,Early College
Lily German,17,3.91,5,Freshman,Early College
Hayden Jones,15,3.27,35,Senior,Early Childhood Education
Daniel Johnson,17,3.96,14,Junior,Business
Daniel German,18,2.52,23,Freshman,Construction
Daniel Brown,16,0.4,38,Junior,Culinary
Alex German,19,4.49,22,Super Senior,Marketing
Joe Brown,16,1.51,9,Freshman,Business
Daniel Johnson,18,2.43,37,Super Senior,Early Childhood Education
Tom Garcia,16,2.92,57,Super Senior,Engineering
Mac Anderson,14,3.49,43,Junior,Bio Med
Tom German,16,3.74,28,Freshman,Fine Arts
Sarah Garcia,16,1.75,49,Super Senior,Early Childhood Education
Isabelle Foster,18,2.66,8,Super Senior,Construction
Josh Jones,18,3.91,32,Sophmore,Early College
Rachel Jones,15,4.3,5,Sophmore,Early Childhood Education
Ben Smith,16,0.57,24,Junior,Early College
Emma Jones,18,3.1,31,Senior,Early College
Lily Miller,15,1.81,28,Junior,Marketing
Hayden Scott,14,0.34,16,Senior,Fine Arts
Ian Anderson,16,2.61,60,Super Senior,Early Childhood Education
Mac Williams,14,2.98,21,Super Senior,Fine Arts
Daniel Smith,17,3.6,30,Senior,Culinary
Bob Smith,19,3.66,45,Junior,Early College
Isabelle Brown,17,4.48,48,Senior,Business
Ian White,16,0.54,16,Freshman,Business
Ian Brown,14,4.04,58,Junior,Early Childhood Education
Sophie Miller,17,1.66,32,Freshman,Early College
Hayden Davis,19,3.59,57,Sophmore,Bio Med
Daniel Scott,14,2.26,1,Junior,Engineering
Sarah Williams,17,3.85,33,Senior,Fine Arts
Isabelle Smith,14,2.89,0,Super Senior,Computer Science
Joe German,15,4.25,16,Super Senior,Fine Arts
Sophie German,14,3.66,8,Senior,Construction
Marie White,19,3.28,46,Junior,Early Childhood Education
Ian Scott,17,1.38,52,Sophmore,Culinary
Alex Davis,18,4.25,35,Senior,Culinary
Hayden King,15,0.56,3,Sophmore,Marketing
Emma Moore,14,4.36,4,Junior,Culinary
Hayden Fraker,19,2.47,43,Junior,Culinary
Marie Johnson,17,2.27,16,Super Senior,Marketing
Josh Fraker,17,4.24,45,Freshman,Construction
Hayden German,19,2.16,58,Senior,Bio Med
Sophie German,16,1.15,5,Super Senior,Fine Arts
Isabelle Brown,18,3.11,24,Sophmore,Engineering
Rachel King,14,0.4,30,Senior,Business
Emma Smith,15,2.52,20,Sophmore,Culinary
Sophie Anderson,19,0.37,26,Super Senior,Construction
Joe Fraker,17,2.39,19,Freshman,Early College
Ian Moore,19,1.69,24,Senior,Engineering
Lily Scott,15,4.43,39,Senior,Fine Arts
Daniel Foster,18,2.45,23,Senior,Business
Sophie Davis,18,4.11,39,Senior,Construction
Emma Scott,18,2.72,32,Super Senior,Bio Med
Alex Brown,18,2.41,41,Senior,Business
Marie Brown,14,1.24,19,Junior,Engineering
Tom German,17,2.92,50,Sophmore,Early Childhood Education
Mac Davis,15,2.72,27,Super Senior,Early College
Sophie White,17,0.39,49,Freshman,Early Childhood Education
Emma Moore,14,0.67,52,Senior,Bio Med
Daniel Garcia,16,3.22,3,Super Senior,Culinary
Ian King,17,3.36,3,Sophmore,Construction
Emma Garcia,19,1.46,22,Freshman,Early Childhood Education
Alex White,14,0.67,16,Freshman,Early Childhood Education
Ian White,17,3.36,50,Sophmore,Bio Med
Sarah Fraker,15,1.44,9,Freshman,Engineering
Ben White,16,1.7,30,Super Senior,Engineering
Josh King,19,2.54,43,Junior,Fine Arts
Alex White,19,0.54,46,Junior,Business
Marie Miller,16,2.74,33,Freshman,Early Childhood Education
Sophie Smith,19,3.47,24,Junior,Early Childhood Education
Hayden Foster,14,4.12,20,Freshman,Construction
Rachel Scott,16,1.54,1,Sophmore,Bio Med
Joe Foster,18,4.09,60,Freshman,Culinary
Ian Garcia,15,4.49,48,Senior,Bio Med
Mac Williams,16,1.97,37,Freshman,Fine Arts
Sarah Davis,19,1.45,30,Sophmore,Early Childhood Education
Joe Garcia,19,3.42,20,Junior,Construction
Isabelle Miller,15,0.74,17,Freshman,Construction
Bob Johnson,18,3.57,2,Sophmore,Early Childhood Education
Alex Williams,17,0.41,7,Freshman,Business
Lily Miller,17,1.83,46,Sophmore,Engineering
Alex King,15,2.13,39,Senior,Early Childhood Education
Lily White,19,4.33,44,Senior,Construction
Josh Anderson,19,1.87,26,Junior,Fine Arts
Daniel Miller,15,1.21,29,Junior,Bio Med
Daniel Smith,14,1.11,39,Freshman,Engineering
Alex Smith,18,2.92,37,Sophmore,Bio Med
Ben Scott,17,2.9,59,Junior,Early College
Hayden Miller,17,1.31,24,Senior,Bio Med
Isabelle Garcia,14,2.85,22,Junior,Early College
Bob King,16,1.48,23,Junior,Fine Arts
Ben German,14,3.3,24,Super Senior,Marketing
Tom Williams,14,3.78,40,Senior,Engineering
Josh Garcia,16,0.87,49,Senior,Computer Science
Lily Moore,15,1.95,47,Super Senior,Business
Ben Fraker,17,3.59,8,Junior,Construction
Sarah Jones,14,2.5,50,Freshman,Bio Med
Marie Brown,15,3.38,30,Senior,Early College
Ian Johnson,18,0.68,12,Senior,Construction
Emma Johnson,17,3.09,13,Freshman,Culinary
Josh Garcia,18,3.96,18,Super Senior,Early College
Daniel Davis,18,3.93,34,Senior,Marketing
Josh Brown,16,2.29,58,Sophmore,Bio Med
Josh Miller,16,2.39,37,Senior,Early College
Lily Scott,17,3.21,42,Freshman,Bio Med
Sophie Jones,17,4.19,2,Junior,Early College
Bob Scott,18,3.09,48,Junior,Marketing
Isabelle Scott,15,2.5,0,Super Senior,Bio Med
Daniel Miller,16,4.16,7,Super Senior,Computer Science
Sarah Smith,15,3.86,3,Junior,Early Childhood Education
Ian Smith,14,3.81,6,Freshman,Early Childhood Education
Hayden German,18,3.08,35,Senior,Bio Med
Sarah German,19,1.95,23,Junior,Engineering
Alex Scott,17,2.88,33,Freshman,Engineering
Sophie Johnson,15,1.99,44,Junior,Marketing
Emma Anderson,15,4.09,40,Junior,Engineering
Mac Scott,16,3.77,60,Senior,Bio Med
Josh King,17,1.05,4,Sophmore,Marketing
Alex White,19,1.22,16,Sophmore,Engineering
Ben Davis,19,0.48,42,Junior,Early College
Daniel Williams,14,4.0,16,Junior,Culinary
Sophie Jones,17,1.97,8,Sophmore,Early College
Joe Jones,14,2.7,9,Freshman,Computer Science
Joe Jones,18,1.5,5,Senior,Computer Science
Marie Davis,14,1.91,39,Freshman,Fine Arts
Ben Smith,19,1.64,59,Sophmore,Computer Science
Marie Anderson,19,2.1,6,Super Senior,Business
Mac Garcia,14,1.23,45,Sophmore,Marketing
Ben Davis,16,2.35,46,Super Senior,Culinary
Sarah Miller,15,4.0,41,Freshman,Business
Marie Foster,18,2.91,49,Sophmore,Early Childhood Education
Isabelle Williams,14,1.09,44,Senior,Bio Med
Sophie Miller,17,1.08,27,Super Senior,Construction
Daniel Smith,19,0.92,51,Freshman,Culinary
Daniel Moore,18,0.92,58,Senior,Computer Science
Mac Johnson,18,0.98,41,Sophmore,Bio Med
Tom White,14,2.63,2,Senior,Early College
Bob Moore,16,1.88,52,Super Senior,Culinary
Ian Jones,17,2.61,29,Junior,Culinary
Tom Foster,14,3.81,60,Senior,Early College
Josh Moore,14,1.47,55,Junior,Early College
Joe Foster,17,3.04,55,Senior,Marketing
Mac Moore,18,1.46,28,Super Senior,Culinary
Lily Foster,17,1.4,41,Senior,Fine Arts
Mac Anderson,18,1.26,9,Sophmore,Computer Science
Sophie Jones,16,4.38,36,Junior,Construction
Emma Johnson,17,4.26,44,Senior,Culinary
Joe Williams,15,3.36,40,Junior,Computer Science
Isabelle Smith,17,4.13,4,Sophmore,Early College
Marie Moore,18,1.46,10,Sophmore,Culinary
Josh Garcia,19,2.17,5,Junior,Bio Med
Rachel Garcia,19,3.2,57,Super Senior,Engineering
Tom German,15,0.79,20,Senior,Construction
Daniel Garcia,15,4.18,34,Junior,Culinary
Alex Davis,14,1.51,46,Sophmore,Fine Arts
Marie Garcia,17,2.88,11,Senior,Computer Science
Sophie Williams,14,3.78,6,Senior,Early College
Rachel German,16,2.3,39,Freshman,Early College
Bob Jones,17,2.65,26,Senior,Early Childhood Education
Joe King,14,2.9,29,Senior,Construction
Bob Johnson,15,1.53,40,Junior,Marketing
Hayden Moore,18,3.54,60,Freshman,Computer Science
Emma Fraker,16,3.34,0,Super Senior,Early College
Lily Johnson,14,2.75,12,Freshman,Marketing
Sophie Garcia,15,0.52,43,Junior,Construction
Daniel Miller,14,2.67,26,Super Senior,Construction
Ian Williams,17,2.58,51,Sophmore,Early College
Emma Moore,14,3.12,54,Junior,Early College
Josh Fraker,16,1.85,7,Sophmore,Fine Arts
Sophie Williams,18,1.83,26,Junior,Engineering
Marie White,15,1.4,20,Senior,Bio Med
Sophie Davis,18,1.36,9,Sophmore,Business
Alex Brown,18,3.27,58,Sophmore,Marketing
Bob Williams,19,2.59,60,Junior,Computer Science
Emma Jones,15,1.39,23,Senior,Fine Arts
Ben Moore,17,3.84,16,Sophmore,Early College
Tom Scott,14,3.47,37,Freshman,Fine Arts
Hayden King,16,3.09,35,Senior,Computer Science
Josh King,18,4.23,43,Super Senior,Bio Med
Marie Williams,16,0.49,29,Sophmore,Early College
Sophie Williams,17,2.82,18,Sophmore,Early College
Tom King,17,2.88,26,Sophmore,Business
Josh Anderson,15,1.68,27,Junior,Early Childhood Education
Lily Johnson,16,0.65,58,Senior,Computer Science
Ian Garcia,14,2.15,2,Senior,Computer Science
Lily Miller,18,1.55,35,Junior,Business
Isabelle White,17,3.06,15,Freshman,Fine Arts
Isabelle Miller,17,0.54,54,Senior,Computer Science
Daniel Johnson,15,2.01,55,Super Senior,Culinary
Marie Anderson,14,3.86,47,Freshman,Early College
Tom German,19,2.25,47,Junior,Culinary
Mac German,18,2.52,28,Junior,Fine Arts
Sophie Moore,14,4.44,8,Sophmore,Construction
Ben German,17,4.25,54,Junior,Computer Science
Sarah Johnson,19,3.51,13,Super Senior,Engineering
Sarah Davis,19,3.15,36,Senior,Business
Marie Garcia,18,4.06,37,Freshman,Business
Alex Williams,17,1.18,25,Junior,Construction
Josh Smith,17,1.19,35,Junior,Business
Mac Johnson,19,3.51,44,Senior,Fine Arts
Ben Garcia,19,0.47,43,Senior,Culinary
Ian German,14,3.83,41,Freshman,Construction
Rachel Davis,14,0.41,1,Super Senior,Marketing
Emma Foster,17,0.31,10,Senior,Bio Med
Sarah Johnson,17,4.07,56,Super Senior,Construction
Marie German,19,1.18,47,Senior,Bio Med
Ian Smith,16,1.71,25,Senior,Marketing
Joe Miller,15,4.02,53,Senior,Culinary
Ian King,18,1.99,13,Freshman,Bio Med
Joe Garcia,17,3.02,23,Junior,Early College
Bob Scott,17,2.68,52,Junior,Early Childhood Education
Rachel Williams,18,2.21,5,Senior,Early College
Sophie White,14,0.71,22,Senior,Business
Bob Smith,16,1.93,37,Senior,Construction
Daniel Johnson,14,2.65,4,Super Senior,Culinary
Ian Brown,18,0.42,42,Junior,Computer Science
Lily Fraker,18,2.9,13,Sophmore,Business
Josh Smith,15,2.53,52,Junior,Bio Med
Tom King,18,1.53,30,Junior,Early Childhood Education
Sarah Brown,15,1.05,17,Sophmore,Early College
Ben German,14,2.65,23,Junior,Bio Med
Josh Johnson,16,3.77,7,Senior,Fine Arts
Isabelle Williams,16,1.46,21,Senior,Construction
Emma Moore,18,3.58,28,Sophmore,Engineering
Bob Davis,19,0.57,33,Senior,Early Childhood Education
Sophie Moore,16,0.41,15,Freshman,Fine Arts
Tom Moore,17,2.39,60,Sophmore,Culinary
Emma Garcia,18,3.13,48,Sophmore,Culinary
Marie White,17,0.57,41,Senior,Culinary
Ben Jones,19,0.98,14,Freshman,Early Childhood Education
Mac Fraker,16,2.89,32,Super Senior,Fine Arts
Daniel Scott,14,1.59,39,Super Senior,Marketing
Rachel White,15,2.74,26,Sophmore,Construction
Ian Moore,19,4.36,12,Super Senior,Fine Arts
Hayden Johnson,17,1.23,58,Sophmore,Early College
Daniel Williams,16,0.32,21,Junior,Construction
Bob Smith,16,3.03,20,Senior,Culinary
Rachel Williams,16,0.62,28,Junior,Marketing
Tom White,17,2.27,38,Freshman,Construction
Sophie Brown,14,1.55,27,Junior,Fine Arts
Hayden Davis,17,0.67,45,Junior,Marketing
Bob Moore,18,2.45,40,Freshman,Culinary
Josh Smith,18,3.02,11,Freshman,Business
Lily Garcia,15,3.18,51,Senior,Culinary
Mac Davis,18,2.14,31,Freshman,Construction
Joe Jones,18,0.51,36,Junior,Engineering
Alex Williams,19,3.93,21,Senior,Culinary
Rachel Foster,19,0.36,25,Junior,Bio Med
Ian Moore,15,1.74,15,Senior,Engineering
Josh Anderson,14,4.46,56,Sophmore,Business
Ben Garcia,17,0.88,1,Junior,Business
Sarah Miller,17,1.19,59,Sophmore,Early Childhood Education
Tom Garcia,14,0.73,2,Senior,Business
Sarah Williams,14,3.31,6,Senior,Construction
Lily Johnson,18,2.11,16,Super Senior,Early Childhood Education
Bob Anderson,18,0.93,58,Junior,Early College
Tom Williams,17,3.45,1,Senior,Engineering
Emma White,17,1.1,12,Freshman,Culinary
Hayden Williams,17,0.39,56,Senior,Fine Arts
Sophie Johnson,17,0.43,36,Senior,Bio Med
Joe German,15,3.88,11,Sophmore,Business
Sarah Johnson,14,3.94,60,Sophmore,Fine Arts
Sarah Miller,14,4.14,16,Freshman,Early Childhood Education
Sarah Jones,17,3.1,25,Super Senior,Computer Science
Ben Scott,18,2.52,8,Freshman,Construction
Ian Miller,18,3.8,7,Freshman,Fine Arts
Sarah King,17,2.52,3,Sophmore,Business
Sarah Williams,17,0.32,15,Senior,Marketing
Rachel Anderson,16,1.62,19,Super Senior,Bio Med
Hayden Anderson,14,4.41,15,Junior,Early Childhood Education
Mac Garcia,17,1.26,31,Junior,Construction
Bob Brown,17,1.59,22,Junior,Marketing
Ian Scott,15,3.59,47,Freshman,Bio Med
Joe Johnson,15,1.3,32,Senior,Business
Sarah King,17,1.12,7,Senior,Business
Sophie Moore,17,1.31,46,Junior,Fine Arts
Lily Anderson,18,0.33,4,Junior,Construction
Sarah White,19,2.75,19,Super Senior,Computer Science
Bob Jones,15,2.54,1,Senior,Early Childhood Education
Tom Williams,16,0.77,27,Freshman,Computer Science
Ben Moore,16,0.64,29,Senior,Computer Science
Alex Johnson,15,3.75,49,Super Senior,Computer Science
Rachel Foster,18,1.52,23,Freshman,Culinary
Hayden Foster,14,4.03,56,Freshman,Early Childhood Education
Bob Miller,18,4.08,23,Sophmore,Bio Med
Ben Scott,15,1.9,7,Senior,Fine Arts
Ben Jones,14,2.93,48,Freshman,Bio Med
Alex Foster,14,4.04,2,Freshman,Construction
Bob Fraker,14,1.6,43,Senior,Bio Med
Emma Moore,15,3.01,49,Senior,Construction
Daniel Garcia,19,2.35,27,Freshman,Culinary
Marie King,15,1.27,21,Sophmore,Bio Med
Sophie Anderson,19,2.08,25,Freshman,Engineering
Daniel Fraker,19,4.39,16,Sophmore,Computer Science
Ben Johnson,16,1.37,56,Senior,Bio Med
Sophie Fraker,17,4.25,18,Freshman,Construction
Ben White,19,1.46,58,Super Senior,Fine Arts
Mac Fraker,14,1.32,40,Junior,Fine Arts
Sophie King,18,1.22,4,Sophmore,Early Childhood Education
Bob German,15,0.56,59,Sophmore,Computer Science
Bob Brown,17,1.15,10,Super Senior,Construction
Josh Miller,18,2.39,25,Sophmore,Engineering
Joe Williams,16,2.42,11,Super Senior,Early Childhood Education
Josh White,16,2.83,57,Sophmore,Bio Med
Rachel Johnson,19,3.05,6,Super Senior,Early College
Daniel Smith,16,1.06,49,Super Senior,Engineering
Joe Johnson,18,4.21,44,Senior,Early Childhood Education
Sarah Moore,17,2.89,33,Senior,Early Childhood Education
Rachel Moore,14,3.41,7,Freshman,Early College
Daniel Scott,18,3.46,21,Super Senior,Early College
Bob German,14,1.95,47,Freshman,Business
Emma Davis,18,4.4,17,Sophmore,Computer Science
Lily German,18,0.48,1,Sophmore,Bio Med
Emma Foster,18,2.1,56,Senior,Business
Ian Jones,16,3.08,18,Junior,Engineering
Tom German,18,2.37,39,Super Senior,Culinary
Sarah Davis,17,2.74,44,Super Senior,Business
Emma Miller,16,3.64,56,Junior,Computer Science
Hayden Jones,15,3.11,13,Junior,Computer Science
Tom Fraker,15,4.43,56,Senior,Bio Med
Isabelle King,16,4.29,7,Freshman,Early Childhood Education
Emma Anderson,18,0.49,40,Freshman,Marketing
Isabelle Anderson,15,0.31,58,Sophmore,Fine Arts
Alex Brown,19,4.44,2,Senior,Early College
Ben Davis,18,4.43,53,Sophmore,Fine Arts
Tom German,16,4.06,60,Freshman,Early College
Ben Fraker,18,3.28,42,Junior,Fine Arts
Tom Williams,18,2.6,52,Freshman,Early College
Marie Anderson,14,2.85,13,Freshman,Culinary
Josh Davis,17,1.64,21,Junior,Engineering
Marie Williams,19,2.68,31,Junior,Engineering
Emma Johnson,19,0.84,33,Sophmore,Bio Med
Ian Jones,14,3.22,38,Senior,Computer Science
Isabelle German,19,1.08,27,Freshman,Culinary
Alex Smith,16,2.24,2,Senior,Fine Arts
Bob Moore,16,3.39,32,Junior,Marketing
Daniel Smith,19,4.22,41,Senior,Marketing
Marie Anderson,16,0.66,59,Freshman,Business
Sarah Brown,15,0.48,5,Super Senior,Culinary
Daniel Fraker,16,0.53,53,Freshman,Marketing
Hayden Johnson,16,0.49,9,Sophmore,Bio Med
Hayden Williams,14,1.56,40,Senior,Fine Arts
Ben Smith,19,0.61,40,Junior,Business
Marie Moore,16,1.56,33,Sophmore,Early College
Ben Foster,14,1.63,12,Sophmore,Early Childhood Education
Sophie Foster,17,1.73,55,Junior,Bio Med
Mac Johnson,17,0.44,16,Senior,Marketing
Rachel Fraker,18,3.0,34,Senior,Bio Med
Josh German,16,2.31,38,Sophmore,Engineering
Daniel Jones,15,0.75,18,Super Senior,Fine Arts
Marie Jones,19,1.16,17,Super Senior,Bio Med
Isabelle Brown,17,3.29,29,Junior,Bio Med
Sarah Moore,14,1.51,11,Freshman,Fine Arts
Ben German,15,0.89,47,Sophmore,Marketing
Sarah Foster,18,2.54,27,Super Senior,Early College
Sophie Garcia,18,3.23,55,Freshman,Engineering
Daniel Fraker,17,0.77,13,Senior,Engineering
Josh White,19,0.63,13,Sophmore,Construction
Isabelle Moore,17,4.24,9,Junior,Fine Arts
Lily Davis,14,0.31,16,Sophmore,Computer Science
Isabelle Johnson,16,3.59,14,Freshman,Culinary
Mac King,15,3.37,41,Senior,Bio Med
Bob White,15,1.9,15,Junior,Early College
Rachel Foster,14,0.47,48,Senior,Business
Rachel Miller,19,2.34,6,Senior,Early Childhood Education
Isabelle Anderson,19,3.94,21,Freshman,Construction
Sarah Miller,18,3.09,51,Freshman,Marketing
Ian Fraker,17,0.54,21,Sophmore,Early College
Marie Scott,19,0.67,4,Senior,Early Childhood Education
Ian Scott,15,2.85,18,Senior,Culinary
Ben White,14,1.32,23,Junior,Engineering
Ben Garcia,17,0.65,43,Super Senior,Engineering
Tom Scott,18,1.51,6,Freshman,Computer Science
Alex Scott,14,2.42,30,Super Senior,Business
Marie Johnson,19,1.65,34,Super Senior,Engineering
Marie Garcia,16,3.48,42,Freshman,Engineering
Hayden Scott,19,3.73,1,Junior,Engineering
Josh German,16,1.53,26,Junior,Fine Arts
Ben Scott,15,2.67,28,Senior,Bio Med
Sophie Moore,16,3.64,22,Senior,Computer Science
Ian Fraker,18,2.57,52,Junior,Early Childhood Education
Ian Smith,15,1.13,25,Freshman,Bio Med
Ian Scott,16,4.08,60,Junior,Fine Arts
Lily Fraker,15,1.09,32,Junior,Bio Med
Emma Anderson,19,2.05,59,Freshman,Early Childhood Education
Hayden Davis,17,0.39,25,Junior,Fine Arts
Rachel Garcia,18,2.5,14,Senior,Culinary
Josh German,17,4.13,20,Super Senior,Engineering
Mac Garcia,16,4.46,4,Freshman,Early Childhood Education
Joe Brown,17,1.71,26,Sophmore,Construction
Marie Fraker,14,4.33,6,Sophmore,Early Childhood Education
Tom Davis,16,4.49,46,Sophmore,Early Childhood Education
Isabelle Davis,16,1.92,21,Super Senior,Marketing
Bob Fraker,19,2.71,53,Junior,Computer Science
Sophie White,16,2.02,12,Super Senior,Early Childhood Education
Tom Fraker,18,1.72,0,Freshman,Early College
Hayden Fraker,14,2.82,50,Senior,Early College
Marie Williams,16,0.54,14,Super Senior,Computer Science
Bob White,18,2.0,34,Super Senior,Culinary
Lily Scott,18,4.21,35,Senior,Fine Arts
Joe Jones,18,2.59,41,Sophmore,Bio Med
Alex German,18,0.5,22,Senior,Bio Med
Joe Moore,17,3.13,28,Junior,Bio Med
Lily Williams,19,0.48,24,Junior,Engineering
Josh Williams,19,3.68,30,Freshman,Early Childhood Education
Josh Anderson,19,3.79,1,Senior,Culinary
Tom Scott,19,2.26,3,Junior,Fine Arts
Alex Garcia,18,1.75,17,Super Senior,Bio Med
Rachel King,17,3.64,48,Junior,Early Childhood Education
Josh Anderson,15,2.45,14,Junior,Construction
Lily Foster,19,3.01,57,Super Senior,Marketing
Josh Scott,14,1.62,23,Super Senior,Marketing
Mac Johnson,14,2.64,39,Junior,Construction
Alex Davis,16,1.55,33,Sophmore,Marketing
Alex Scott,17,2.5,47,Junior,Computer Science
Daniel Smith,19,1.31,19,Sophmore,Culinary
Josh Anderson,17,1.47,8,Sophmore,Early Childhood Education
Rachel King,16,4.35,11,Super Senior,Marketing
Lily Scott,17,2.79,3,Super Senior,Engineering
Bob Scott,16,2.65,3,Super Senior,Culinary
Joe Anderson,18,1.2,1,Freshman,Fine Arts
Sophie Brown,16,0.44,42,Senior,Bio Med
Hayden Johnson,18,2.45,44,Super Senior,Construction
Daniel German,17,2.04,15,Super Senior,Construction
Josh Williams,16,4.02,37,Super Senior,Engineering
Ian Fraker,19,0.35,20,Super Senior,Early College
Tom Davis,14,3.82,13,Sophmore,Early College
Hayden Jones,19,1.29,43,Freshman,Culinary
Joe Jones,17,1.44,13,Sophmore,Business
Alex Smith,19,1.49,53,Freshman,Fine Arts
Hayden Fraker,14,0.53,12,Senior,Computer Science
Hayden Jones,16,4.23,6,Freshman,Early Childhood Education
Tom Foster,18,4.24,23,Sophmore,Early Childhood Education
Tom Garcia,19,1.71,39,Sophmore,Engineering
Ian Miller,14,4.24,40,Super Senior,Engineering
Rachel Williams,17,2.19,46,Super Senior,Fine Arts
Marie White,16,1.32,51,Super Senior,Engineering
Emma Scott,14,2.87,8,Senior,Culinary
Joe White,16,3.08,19,Junior,Business
Ian Smith,17,1.03,18,Junior,Construction
Lily Moore,17,1.96,22,Freshman,Early College
Lily Davis,19,3.62,49,Senior,Computer Science
Bob Williams,19,0.84,59,Junior,Engineering
Lily German,15,3.84,36,Freshman,Construction
Sarah Fraker,19,1.45,1,Super Senior,Business
Lily Miller,15,2.8,26,Senior,Culinary
Ben Fraker,15,4.16,10,Super Senior,Computer Science
Josh Brown,16,2.54,9,Junior,Early College
Bob Williams,17,1.77,28,Freshman,Culinary
Isabelle Johnson,18,2.3,53,Super Senior,Culinary
Alex Anderson,16,3.07,42,Freshman,Marketing
Ian Moore,15,2.96,37,Super Senior,Early College
Emma White,19,4.22,22,Junior,Fine Arts
Alex Smith,15,2.41,6,Sophmore,Early College
Sarah Miller,15,3.84,33,Junior,Marketing
Rachel Smith,15,2.52,9,Junior,Marketing
Tom King,19,4.34,16,Junior,Culinary
Sarah Miller,19,3.67,53,Sophmore,Computer Science
Lily Davis,16,2.62,56,Super Senior,Construction
Sophie Brown,14,3.97,44,Super Senior,Fine Arts
Alex King,16,4.03,29,Junior,Engineering
Sarah Brown,15,0.52,58,Super Senior,Fine Arts
Emma King,18,2.19,23,Freshman,Engineering
Lily Brown,17,4.23,45,Super Senior,Computer Science
Sophie King,16,2.36,34,Super Senior,Marketing
Hayden Miller,18,4.2,31,Sophmore,Computer Science
Joe Moore,18,3.45,2,Junior,Construction
Lily Miller,14,2.7,45,Junior,Culinary
Isabelle Moore,16,0.44,14,Senior,Engineering
Daniel Moore,15,2.46,5,Sophmore,Fine Arts
Sarah Foster,15,3.74,53,Senior,Computer Science
Sarah German,15,3.35,27,Senior,Early College
Ben Miller,16,3.62,17,Sophmore,Construction
Isabelle Garcia,16,3.2,33,Freshman,Construction
Ben King,17,1.34,57,Junior,Construction
